"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Il17rc",1.22261606947959e-164,0.517401822991714,0.462,0.086,2.29264965348812e-160,"8","Il17rc"
"Sprr1a",2.99272100451775e-163,0.886753328001308,0.511,0.111,5.61195042767168e-159,"8","Sprr1a"
"Cebpa",5.10758504454426e-163,0.827914725901943,0.64,0.168,9.57774347552939e-159,"8","Cebpa"
"Rpl4",1.6522382536562e-158,0.606445814334192,0.998,0.949,3.09827717325612e-154,"8","Rpl4"
"Ppp1r14c",2.41589211204582e-158,0.5148393265485,0.456,0.087,4.53028088850833e-154,"8","Ppp1r14c"
"Rps3a1",4.18260163976676e-158,0.549493920795943,0.998,0.979,7.84321459489062e-154,"8","Rps3a1"
"Rps7",9.34632567292031e-158,0.567994374303507,1,0.967,1.75262299018602e-153,"8","Rps7"
"Serpinb7",5.75066775150785e-157,0.474173305628943,0.337,0.049,1.07836521676275e-152,"8","Serpinb7"
"Pycard",7.47584493119908e-157,0.57512671523326,0.542,0.121,1.40187044149845e-152,"8","Pycard"
"Tfap2c",1.34514165591425e-156,0.48343050655452,0.417,0.074,2.52240963317041e-152,"8","Tfap2c"
"Nectin4",1.33262978476904e-155,0.320104791706743,0.276,0.033,2.4989473723989e-151,"8","Nectin4"
"Trim13",2.27437399398509e-155,0.523470948145407,0.432,0.081,4.26490611352085e-151,"8","Trim13"
"Rpl10a",5.81320005385844e-155,0.618578510948045,0.99,0.94,1.09009127409954e-150,"8","Rpl10a"
"Mapkapk3",3.9117828345096e-154,0.461922588759831,0.434,0.08,7.3353751712724e-150,"8","Mapkapk3"
"Col17a1",4.54512809392435e-153,0.503087796635854,0.44,0.082,8.52302420172694e-149,"8","Col17a1"
"Guca2a",6.92015038645428e-152,0.576192675909196,0.319,0.046,1.29766660046791e-147,"8","Guca2a"
"Trim161",8.48823280987982e-152,0.640287265036389,0.616,0.16,1.59171341650866e-147,"8","Trim16"
"Rps8",1.58494716829905e-151,0.528169764061695,0.998,0.973,2.97209292999438e-147,"8","Rps8"
"Rps3",5.70765056687217e-151,0.551583048679729,0.998,0.971,1.07029863429987e-146,"8","Rps3"
"Tecr",8.32216087472748e-150,0.735755045159466,0.955,0.579,1.5605716072289e-145,"8","Tecr"
"S100a112",1.140435420038e-149,0.744944577690681,0.992,0.796,2.13854449965525e-145,"8","S100a11"
"Rpl8",1.58601975368123e-149,0.520015668240601,1,0.974,2.97410424210305e-145,"8","Rpl8"
"Spint21",1.45191133323666e-148,0.624531730012326,0.841,0.271,2.72262413208539e-144,"8","Spint2"
"Rpl18a",2.16160962356202e-148,0.50233404108309,0.998,0.986,4.0534503661035e-144,"8","Rpl18a"
"Mpzl3",2.54020972579037e-148,0.418866571299246,0.315,0.046,4.7634012778021e-144,"8","Mpzl3"
"Fam83g",3.24185733292492e-148,0.533805936598902,0.46,0.093,6.0791308707008e-144,"8","Fam83g"
"Ezr",1.10100689857813e-147,0.70736051798598,0.804,0.27,2.06460813621371e-143,"8","Ezr"
"Rps5",3.67251231870045e-147,0.521592497513562,0.998,0.978,6.88669510002708e-143,"8","Rps5"
"Rpl15",1.47397391474613e-144,0.531946821801557,1,0.956,2.76399588493194e-140,"8","Rpl15"
"Krt80",8.06789685491792e-142,0.327709362553298,0.315,0.047,1.51289201823421e-137,"8","Krt80"
"Pou3f1",4.41048572538958e-141,0.431490032558748,0.454,0.094,8.27054283225054e-137,"8","Pou3f1"
"Tprg",1.20521276362557e-140,0.435058078841395,0.27,0.036,2.26001497435067e-136,"8","Tprg"
"Rpsa",2.26719177997502e-140,0.560506723970152,0.998,0.942,4.25143802580916e-136,"8","Rpsa"
"Abhd6",2.99953774866287e-140,0.49179741464969,0.397,0.074,5.62473318629261e-136,"8","Abhd6"
"Cdcp1",1.19881695378282e-139,0.494029641542698,0.468,0.099,2.24802155173354e-135,"8","Cdcp1"
"Polr3g",3.43977919929096e-139,0.332537646392284,0.258,0.033,6.45027395451041e-135,"8","Polr3g"
"Rpl11",3.87053753330009e-139,0.503970105683132,0.998,0.966,7.25803198244433e-135,"8","Rpl11"
"Tmem54",5.80795134357674e-139,0.357970355939005,0.303,0.045,1.08910703594751e-134,"8","Tmem54"
"Wdr61",2.82442570034504e-138,0.751197264284161,0.789,0.303,5.29636307328702e-134,"8","Wdr61"
"Tfap2a",1.14452584495407e-137,0.482111306476143,0.405,0.079,2.14621486445787e-133,"8","Tfap2a"
"Acsbg1",1.83399527617373e-136,0.391027582170645,0.415,0.08,3.43910794188098e-132,"8","Acsbg1"
"Sdc11",2.89375160607239e-136,0.629036770618987,0.836,0.303,5.42636301170695e-132,"8","Sdc1"
"Rpl32",3.32323305751612e-136,0.54091101599378,0.998,0.975,6.23172662945422e-132,"8","Rpl32"
"Sptlc3",4.88300804508885e-135,0.352176541030269,0.262,0.035,9.15661668615062e-131,"8","Sptlc3"
"Rpl18",1.84767735143713e-133,0.515213566020615,0.992,0.958,3.46476456941491e-129,"8","Rpl18"
"Eef1b2",3.50498396781276e-133,0.650168590052735,0.978,0.807,6.57254593644249e-129,"8","Eef1b2"
"Lsr",1.28157089931347e-131,0.515196264666121,0.479,0.11,2.40320175039263e-127,"8","Lsr"
"Clip4",2.35719636062967e-131,0.353657649664332,0.315,0.051,4.42021461545275e-127,"8","Clip4"
"Rpl6",6.07596873802043e-131,0.462252807789251,0.996,0.966,1.13936565775359e-126,"8","Rpl6"
"S100a16",6.41700311915167e-131,0.762625745974754,0.933,0.489,1.20331642490332e-126,"8","S100a16"
"Rps18",1.73560114825615e-130,0.549577651420869,0.988,0.908,3.25459927320993e-126,"8","Rps18"
"Mgst2",3.48303137444514e-130,0.424216451674907,0.331,0.057,6.53138043335952e-126,"8","Mgst2"
"Rdh12",4.68041555713138e-130,0.314495151490345,0.288,0.043,8.77671525273276e-126,"8","Rdh12"
"Sh3yl1",4.86191408529719e-130,0.376041294163836,0.284,0.042,9.1170612927493e-126,"8","Sh3yl1"
"Dennd2c",1.11574250841442e-129,0.401188170476774,0.337,0.059,2.09224035177872e-125,"8","Dennd2c"
"Eppk1",1.9478003252217e-129,0.421203087023483,0.303,0.048,3.65251516985572e-125,"8","Eppk1"
"Rpl3",2.39815000162815e-128,0.517634245947723,0.994,0.957,4.4970108830531e-124,"8","Rpl3"
"Lmo7",2.72666270034582e-127,0.461059841703475,0.319,0.054,5.11303789568848e-123,"8","Lmo7"
"Rplp1",4.10143692595182e-127,0.508863986527334,0.996,0.962,7.69101452354485e-123,"8","Rplp1"
"Itm2b3",9.29534662047451e-127,0.511741765074412,0.996,0.965,1.74306339827138e-122,"8","Itm2b"
"Rpl9",3.36011845962963e-125,0.467888657383788,0.994,0.966,6.30089413549748e-121,"8","Rpl9"
"Slc22a4",3.87548693518005e-125,0.311650563415964,0.278,0.041,7.26731310084962e-121,"8","Slc22a4"
"Rpl13a",9.86900048567971e-125,0.445618188512694,0.996,0.983,1.85063497107466e-120,"8","Rpl13a"
"Rpl12",1.81017100713374e-123,0.563558870946051,0.978,0.896,3.39443267257719e-119,"8","Rpl12"
"Eef1g",3.12924426824693e-123,0.624502253700451,0.973,0.773,5.86795885181664e-119,"8","Eef1g"
"Rps6",2.14066815046983e-122,0.449372207433262,0.994,0.975,4.01418091576103e-118,"8","Rps6"
"Wdr47",6.44514096471281e-122,0.371565247075409,0.294,0.048,1.20859283370295e-117,"8","Wdr47"
"Rps16",9.39481046366587e-122,0.454940742247814,0.992,0.972,1.76171485814662e-117,"8","Rps16"
"Dstn2",1.26076316404016e-121,0.707728228247912,0.978,0.724,2.36418308520812e-117,"8","Dstn"
"Il33",1.48119274976257e-121,0.707996938191652,0.313,0.055,2.77753264435478e-117,"8","Il33"
"Ggh",1.32393454665606e-120,0.673147707511948,0.773,0.296,2.48264206188944e-116,"8","Ggh"
"Tmem238",1.50734579651827e-120,0.504488577550671,0.503,0.129,2.82657483763106e-116,"8","Tmem238"
"Ces2g",3.23315941404422e-120,0.364195354586515,0.256,0.037,6.06282053321573e-116,"8","Ces2g"
"9330162012Rik",2.71859228430176e-119,0.345351645325934,0.292,0.048,5.09790425152266e-115,"8","9330162012Rik"
"Ptges3",9.12201826485723e-118,0.777075835965249,0.73,0.278,1.71056086502603e-113,"8","Ptges"
"Rpl13",6.70635017947201e-117,0.391094405116017,1,0.989,1.25757478565459e-112,"8","Rpl13"
"Rpl17",1.03132642642654e-116,0.457543283751198,0.996,0.969,1.93394331483505e-112,"8","Rpl17"
"Rps26",2.95565185369224e-115,0.623394968754118,0.978,0.834,5.54243835604369e-111,"8","Rps26"
"Rack1",5.54321194923994e-115,0.558969794279038,0.977,0.862,1.03946310472147e-110,"8","Rack1"
"Actg12",1.98545616806273e-114,0.614720129222431,1,0.967,3.72312740635124e-110,"8","Actg1"
"Slc25a25",3.54750901906637e-114,0.635867858153853,0.614,0.195,6.65228891255326e-110,"8","Slc25a25"
"Rpl5",8.36287094864985e-113,0.563792763010001,0.969,0.831,1.56820556029082e-108,"8","Rpl5"
"Klk8",3.0947491321206e-112,0.52072051060799,0.307,0.056,5.80327357255255e-108,"8","Klk8"
"Fosl12",2.65431756421308e-111,0.76435886886308,0.892,0.473,4.97737629641236e-107,"8","Fosl1"
"Acsl1",2.73350186890393e-111,0.363039539236258,0.317,0.058,5.12586270456865e-107,"8","Acsl1"
"Sec24a",4.11235522070667e-111,0.476611173928538,0.466,0.118,7.71148850986914e-107,"8","Sec24a"
"Lipg",7.694652530431e-111,0.399158622803331,0.268,0.044,1.44290124250642e-106,"8","Lipg"
"Cxadr",1.66030645680594e-110,0.461946282064833,0.485,0.125,3.11340666780251e-106,"8","Cxadr"
"Cyp2j6",1.67350517130662e-110,0.435381088686798,0.46,0.114,3.13815689723418e-106,"8","Cyp2j6"
"Eef2",1.85367846821193e-110,0.535622543793874,0.986,0.901,3.476017863591e-106,"8","Eef2"
"Stard10",2.03092957939944e-110,0.386950054358721,0.358,0.073,3.80839914728984e-106,"8","Stard10"
"Rpl19",2.74520700305221e-110,0.397907766732365,0.996,0.972,5.14781217212351e-106,"8","Rpl19"
"Nectin2",1.20168496957275e-109,0.529783114743906,0.552,0.16,2.25339965494281e-105,"8","Nectin2"
"Mif",1.65442774765557e-109,0.689529242859615,0.939,0.601,3.10238291240372e-105,"8","Mif"
"Cpeb2",4.70480639140429e-109,0.446642931857719,0.386,0.086,8.82245294516132e-105,"8","Cpeb2"
"Rps11",2.9224394664185e-108,0.458524367251286,0.994,0.958,5.48015848742797e-104,"8","Rps11"
"Smagp1",4.9958465977032e-108,0.439747111605262,0.474,0.12,9.36821154001304e-104,"8","Smagp"
"Rps4x",1.30707245476656e-107,0.410408660768671,0.998,0.979,2.45102226717826e-103,"8","Rps4x"
"Rps19",1.81163604105393e-107,0.437571841211366,0.996,0.976,3.39717990418432e-103,"8","Rps19"
"Plpp2",6.23870319375272e-107,0.43002620027377,0.432,0.105,1.16988162289251e-102,"8","Plpp2"
"Stap2",9.19589036226438e-107,0.350303252708357,0.333,0.065,1.72441336073182e-102,"8","Stap2"
"Rpl7",1.52961451508687e-106,0.417122334023912,0.99,0.96,2.86833313869089e-102,"8","Rpl7"
"Cltb1",2.58718063313278e-105,0.620337247756781,0.941,0.641,4.85148112325058e-101,"8","Cltb"
"Rpl27a",2.73193507801497e-105,0.447433324018867,0.99,0.946,5.12292465829366e-101,"8","Rpl27a"
"Ppp1r14b",3.65410042465248e-105,0.633482791805355,0.851,0.415,6.85216911630833e-101,"8","Ppp1r14b"
"Rps12",3.95743260036277e-105,0.51231161874925,0.977,0.911,7.42097761220027e-101,"8","Rps12"
"Gata3",5.42766877997674e-105,0.388916158161253,0.323,0.064,1.01779644962124e-100,"8","Gata3"
"Rps27a",2.05489500327833e-104,0.384595648035191,0.996,0.975,3.85333911014752e-100,"8","Rps27a"
"Hlf",6.73423237576382e-104,0.336924619876265,0.307,0.058,1.26280325510323e-99,"8","Hlf"
"Rps9",3.65443545113848e-103,0.378763519322444,0.998,0.983,6.85279735797489e-99,"8","Rps9"
"Rpl23",4.78432736522089e-102,0.435216238325915,0.99,0.959,8.97157067526222e-98,"8","Rpl23"
"Tns4",3.78793556400305e-101,0.3390429369102,0.309,0.06,7.10313676961851e-97,"8","Tns4"
"Tuft1",7.18956007537457e-101,0.338686905793059,0.305,0.059,1.34818630533424e-96,"8","Tuft1"
"Casz1",8.18810490717201e-101,0.368372564398822,0.352,0.076,1.53543343219289e-96,"8","Casz1"
"Acpp",3.90918514501229e-100,0.357831224596499,0.342,0.073,7.33050398392705e-96,"8","Acpp"
"Llph",8.99524662358707e-100,0.59585784217404,0.857,0.424,1.68678864685505e-95,"8","Llph"
"Prdx6",1.66695203351299e-99,0.632348235971217,0.875,0.47,3.12586845324355e-95,"8","Prdx6"
"Rps20",2.64045325448727e-99,0.481106752017031,0.986,0.927,4.95137794281453e-95,"8","Rps20"
"Acad9",2.88192244298196e-99,0.362730189314108,0.317,0.064,5.40418096507978e-95,"8","Acad9"
"Rps25",2.14621273692471e-98,0.437259363346155,0.986,0.939,4.02457812428122e-94,"8","Rps25"
"Rpl23a",5.31111948865291e-98,0.405147387558287,0.996,0.971,9.95941126512195e-94,"8","Rpl23a"
"Fam83h",1.54921687680368e-97,0.29603871874984,0.29,0.055,2.90509148738226e-93,"8","Fam83h"
"Rpl7a",3.10960402755093e-97,0.487513556216768,0.973,0.887,5.83112947246351e-93,"8","Rpl7a"
"Sowahc",6.80632359257851e-97,0.464597603242615,0.513,0.154,1.27632180008032e-92,"8","Sowahc"
"Spint1",8.52940945446771e-97,0.292358332414344,0.297,0.058,1.59943486090178e-92,"8","Spint1"
"Hspa1a1",1.12313762977874e-96,0.386509013827796,0.845,0.393,2.1061076833611e-92,"8","Hspa1a"
"Tiam1",3.89821196882112e-95,0.320175295547962,0.303,0.061,7.30992708393337e-91,"8","Tiam1"
"Rpl28",2.73626250233001e-94,0.477647576144015,0.98,0.895,5.13103944436923e-90,"8","Rpl28"
"Prxl2b",5.03571458695164e-94,0.431516629165027,0.405,0.102,9.44297199345172e-90,"8","Prxl2b"
"Herc4",1.06117423326199e-92,0.443684988904801,0.411,0.108,1.98991392221289e-88,"8","Herc4"
"Dgcr6",1.95088601615012e-92,0.520421026516644,0.624,0.222,3.65830145748471e-88,"8","Dgcr6"
"Itpkc2",8.08880629850417e-92,0.658706540696672,0.703,0.297,1.5168129570955e-87,"8","Itpkc"
"Pmaip1",8.65738222282158e-92,0.363089525309286,0.305,0.064,1.6234323144235e-87,"8","Pmaip1"
"Mvk",9.91021503826514e-92,0.375849307740979,0.325,0.071,1.85836352397548e-87,"8","Mvk"
"Net1",1.94938241083904e-91,0.390662536205424,0.423,0.111,3.65548189680536e-87,"8","Net1"
"Gm15987",3.21233416540083e-90,0.276107237762167,0.29,0.058,6.02376902695963e-86,"8","Gm15987"
"Kif21a",5.38655191804182e-90,0.334473211975058,0.329,0.073,1.0100862156712e-85,"8","Kif21a"
"Rps6kb2",3.56870899442591e-89,0.297620765791965,0.29,0.059,6.69204310634747e-85,"8","Rps6kb2"
"Dsg3",4.4387036747008e-88,0.252896334563125,0.26,0.049,8.32345713079894e-84,"8","Dsg3"
"Cxcl16",2.99847740334174e-87,0.488002334505481,0.753,0.308,5.62274482674643e-83,"8","Cxcl16"
"Rpl21",7.9325776375524e-87,0.435502739545452,0.975,0.902,1.48751695859383e-82,"8","Rpl21"
"Mast41",1.28420526807518e-86,0.489829429901064,0.45,0.131,2.40814171869458e-82,"8","Mast4"
"Rps10",1.52767313232982e-86,0.428977505426448,0.982,0.909,2.86469265774488e-82,"8","Rps10"
"Slc25a5",1.92057796715527e-86,0.476194469803836,0.98,0.812,3.60146780400957e-82,"8","Slc25a5"
"Pon2",1.9622950663722e-86,0.530263355153569,0.759,0.328,3.67969570846115e-82,"8","Pon2"
"Sema4b1",2.04744016578645e-86,0.409430555053846,0.401,0.108,3.83935979888274e-82,"8","Sema4b"
"Nipal1",3.56310143174129e-86,0.414767593435369,0.399,0.107,6.68152780480127e-82,"8","Nipal1"
"Reep4",5.75989566543717e-86,0.373133526535163,0.376,0.095,1.08009563518278e-81,"8","Reep4"
"Gnai1",1.03558788180625e-85,0.363518346227341,0.356,0.088,1.94193439596307e-81,"8","Gnai1"
"Rnd3",1.07299540962083e-85,0.566564298546727,0.618,0.231,2.01208099212097e-81,"8","Rnd3"
"F11r1",3.1031220712552e-85,0.364921265241436,0.552,0.175,5.81897450801775e-81,"8","F11r"
"Rps24",6.96254325912892e-85,0.377583626272026,0.992,0.956,1.30561611195185e-80,"8","Rps24"
"Fdps1",8.90796173114224e-85,0.48048706529813,0.697,0.283,1.67042098382379e-80,"8","Fdps"
"Ormdl2",1.09715096379611e-84,0.413797436339708,0.532,0.171,2.05737748731047e-80,"8","Ormdl2"
"Naca",1.587454312857e-84,0.422660038857446,0.98,0.897,2.97679432746945e-80,"8","Naca"
"Prdx5",1.68557404933164e-83,0.599622559113621,0.908,0.577,3.1607884573067e-79,"8","Prdx5"
"Abhd5",2.43163589820318e-83,0.486092460099248,0.591,0.208,4.5598036363106e-79,"8","Abhd5"
"Slco3a1",4.17631544700723e-83,0.420151376756597,0.409,0.114,7.83142672622795e-79,"8","Slco3a1"
"Hacd2",6.60931693609825e-83,0.286557282157831,0.646,0.249,1.23937911185714e-78,"8","Hacd2"
"Rps15",2.29821184342101e-82,0.417733981329351,0.986,0.925,4.30960684878307e-78,"8","Rps15"
"Rps17",2.48749701434777e-82,0.417641276186716,0.98,0.909,4.66455440130494e-78,"8","Rps17"
"F2rl1",3.5974661192576e-82,0.265498413602362,0.268,0.055,6.74596846683185e-78,"8","F2rl1"
"Hmgn1",1.96054572966584e-79,0.545250169255354,0.926,0.674,3.67641535226937e-75,"8","Hmgn1"
"Rps13",3.78444093604634e-79,0.36719992406634,0.98,0.948,7.0965836432741e-75,"8","Rps13"
"Eif6",1.04537885080738e-78,0.569699215378348,0.881,0.539,1.960294421034e-74,"8","Eif6"
"Rps2",1.1271181704898e-78,0.34234868725939,0.992,0.966,2.11357199330248e-74,"8","Rps2"
"Nhp2",3.28568541977779e-78,0.564505268362645,0.849,0.503,6.16131729916731e-74,"8","Nhp2"
"Eef2k",5.99508950392636e-78,0.271201924170731,0.272,0.058,1.12419918377627e-73,"8","Eef2k"
"Hras",7.90373675398688e-78,0.503372829650496,0.773,0.359,1.48210871610762e-73,"8","Hras"
"Taf13",2.2822853990017e-77,0.492778167808318,0.667,0.27,4.27974158020798e-73,"8","Taf13"
"Rpl27",2.40194403306973e-77,0.405061668543184,0.978,0.904,4.50412545081235e-73,"8","Rpl27"
"Zfp706",3.25327103490281e-76,0.557899219613628,0.885,0.565,6.10053384464975e-72,"8","Zfp706"
"Txndc17",3.29122185619461e-75,0.501187919036049,0.914,0.58,6.17169922473612e-71,"8","Txndc17"
"Eif5a",3.48565920636062e-75,0.421661068506411,0.977,0.875,6.53630814376744e-71,"8","Eif5a"
"Ahnak2",7.1774192510296e-75,0.50806463839008,0.646,0.269,1.34590965795307e-70,"8","Ahnak2"
"Psat1",7.79353570149046e-75,0.286527355876494,0.329,0.083,1.46144381474349e-70,"8","Psat1"
"Phgdh",2.92734242393603e-74,0.367423779059604,0.507,0.17,5.48935251336484e-70,"8","Phgdh"
"Gipc1",4.4803226367427e-74,0.35623006166804,0.442,0.138,8.40150100841991e-70,"8","Gipc1"
"Vdac1",6.75737161920102e-74,0.479736710109599,0.771,0.38,1.26714232603257e-69,"8","Vdac1"
"Rpl36al",5.65790154115442e-73,0.4699489041478,0.945,0.74,1.06096969699728e-68,"8","Rpl36al"
"Hebp2",6.05625994335482e-73,0.373963121227066,0.405,0.119,1.1356698645779e-68,"8","Hebp2"
"Rora",6.59621125716419e-73,0.447050027727191,0.681,0.28,1.23692153494343e-68,"8","Rora"
"Car13",1.24725050967621e-72,0.322979251556336,0.348,0.094,2.33884415574484e-68,"8","Car13"
"Anxa12",1.61820356864736e-72,0.501475210121145,0.984,0.792,3.03445533192753e-68,"8","Anxa1"
"Ddr1",7.1723422251117e-72,0.312105551209783,0.354,0.096,1.34495761405295e-67,"8","Ddr1"
"Tpd52",2.21755581716471e-71,0.355665084898661,0.511,0.175,4.15836066834727e-67,"8","Tpd52"
"Crlf1",1.13745919369416e-70,0.312699625279298,0.38,0.109,2.13296348001528e-66,"8","Crlf1"
"Dhx32",8.50731325651755e-70,0.287009186683799,0.264,0.06,1.59529138186217e-65,"8","Dhx32"
"Ppif",9.76397133174536e-70,0.365480246233146,0.29,0.071,1.83093990412889e-65,"8","Ppif"
"Asns",2.52391439788553e-69,0.306254430802937,0.372,0.107,4.73284427891495e-65,"8","Asns"
"Ptpn13",4.08874597922198e-69,0.261238540161205,0.258,0.059,7.66721646023705e-65,"8","Ptpn13"
"Ppia",6.00636378660216e-69,0.325205207449509,0.994,0.973,1.12631333726364e-64,"8","Ppia"
"Cyb561",8.25500965560766e-68,0.288818079706051,0.29,0.072,1.54797941061955e-63,"8","Cyb561"
"Mcur1",2.23710287442508e-67,0.339266416525665,0.468,0.156,4.19501531012191e-63,"8","Mcur1"
"Serbp1",2.30089891951049e-67,0.464162832368559,0.933,0.698,4.31464565386607e-63,"8","Serbp1"
"Anxa71",2.82026513243816e-67,0.527267727151389,0.836,0.48,5.28856117634803e-63,"8","Anxa7"
"Tjp2",4.07914840624581e-67,0.350284014980156,0.419,0.132,7.64921909139214e-63,"8","Tjp2"
"Iffo2",8.1504709529628e-67,0.309965737388011,0.333,0.091,1.52837631309958e-62,"8","Iffo2"
"Bicd2",1.3691507805141e-66,0.353394749128568,0.354,0.101,2.56743154362003e-62,"8","Bicd2"
"Ralbp1",1.47873957766926e-66,0.615582403285892,0.716,0.351,2.77293245604539e-62,"8","Ralbp1"
"Slc31a2",1.50641571470376e-66,0.362831281013302,0.395,0.122,2.82483074821249e-62,"8","Slc31a2"
"Dbnl",8.02138715931864e-66,0.34501774871867,0.419,0.134,1.50417052011543e-61,"8","Dbnl"
"Rps15a",1.26838947238955e-65,0.358163563169097,0.984,0.937,2.37848393862488e-61,"8","Rps15a"
"Mtf1",4.60669906246727e-65,0.312743310469981,0.376,0.112,8.63848208193862e-61,"8","Mtf1"
"Tubb4b3",1.02558848246571e-64,0.581851907837221,0.888,0.608,1.92318352231969e-60,"8","Tubb4b"
"Eif3e",2.02405376128155e-64,0.488431281489196,0.922,0.708,3.79550561315516e-60,"8","Eif3e"
"Qars",2.87408695527435e-64,0.367477830861587,0.524,0.194,5.38948785853047e-60,"8","Qars"
"Atp6v1e1",1.47586660644556e-62,0.401895198792804,0.724,0.344,2.76754506040672e-58,"8","Atp6v1e1"
"Sptssa",2.37152862010696e-62,0.48811395252456,0.826,0.478,4.44709046842457e-58,"8","Sptssa"
"Agpat3",3.68991465802018e-62,0.369030726322778,0.401,0.131,6.91932796671944e-58,"8","Agpat3"
"Rpl22",1.44242510955249e-61,0.419398474929907,0.949,0.771,2.70483556543283e-57,"8","Rpl22"
"Rps14",2.37023660910051e-61,0.302625135384116,0.988,0.967,4.44466768938528e-57,"8","Rps14"
"Ptprf",5.47574953677575e-61,0.327765820608361,0.393,0.127,1.02681255313619e-56,"8","Ptprf"
"Slc9a3r1",1.21679777556783e-60,0.261449370267572,0.339,0.098,2.28173918874479e-56,"8","Slc9a3r1"
"Uqcrc1",1.52311112611624e-60,0.45637358752252,0.881,0.552,2.85613798369318e-56,"8","Uqcrc1"
"Ociad2",3.45941585561342e-60,0.316011795875856,0.329,0.097,6.48709661244628e-56,"8","Ociad2"
"Atpif1",9.55741848566946e-60,0.43958632882189,0.873,0.573,1.79220711443274e-55,"8","Atpif1"
"Uchl3",1.91879601124331e-59,0.400453003380839,0.521,0.206,3.59812628028345e-55,"8","Uchl3"
"Epha4",3.65394353552135e-59,0.351156119747938,0.335,0.1,6.85187491780963e-55,"8","Epha4"
"Exosc7",9.57746150677326e-59,0.279009753676723,0.372,0.116,1.79596558175012e-54,"8","Exosc7"
"Tent5a1",1.12173952579497e-58,0.398604973640749,0.503,0.194,2.10348595877072e-54,"8","Tent5a"
"Il342",1.15338640362646e-58,0.269035688697372,0.313,0.089,2.16283018408034e-54,"8","Il34"
"Mettl7a1",1.58412381894838e-58,0.28637061300896,0.284,0.076,2.970548985292e-54,"8","Mettl7a1"
"Eif3i",3.22810088505655e-58,0.462625038766707,0.865,0.568,6.05333477965803e-54,"8","Eif3i"
"Hagh",7.4312505956902e-58,0.357504269093787,0.544,0.214,1.39350811170383e-53,"8","Hagh"
"Ybx3",8.26756024116063e-58,0.454204443156348,0.718,0.36,1.55033289642244e-53,"8","Ybx3"
"Rplp2",8.60125535635727e-58,0.326107816464926,0.984,0.923,1.61290740442412e-53,"8","Rplp2"
"H2afj",1.21615584263985e-57,0.423490377146248,0.8,0.458,2.28053543611825e-53,"8","H2afj"
"Rpl30",2.43728160215599e-57,0.361531028010277,0.961,0.854,4.57039046036291e-53,"8","Rpl30"
"Nt5dc2",3.68381476107326e-57,0.280251011743808,0.307,0.088,6.90788943996457e-53,"8","Nt5dc2"
"Triap1",2.36210581954369e-56,0.284596505154143,0.329,0.1,4.42942083280833e-52,"8","Triap1"
"Ak2",2.87676423725745e-56,0.327278805717082,0.607,0.255,5.39450829770516e-52,"8","Ak2"
"Zfp593",3.2204383986682e-56,0.2979654956673,0.493,0.184,6.03896608518261e-52,"8","Zfp593"
"Gng12",4.5358331866049e-56,0.411104297733996,0.679,0.324,8.5055943915215e-52,"8","Gng12"
"Dnajb11",4.90228630241908e-56,0.512860161224265,0.845,0.517,9.19276727429626e-52,"8","Dnajb1"
"Ndfip2",5.61647407755507e-56,0.412554498799209,0.712,0.353,1.05320121902313e-51,"8","Ndfip2"
"Emc4",7.6437201349826e-56,0.441287687106073,0.718,0.365,1.43335039971194e-51,"8","Emc4"
"Orai11",7.80288234636925e-56,0.293753027438154,0.519,0.199,1.46319649759116e-51,"8","Orai1"
"Epha22",1.23578455200376e-55,0.320270401943703,0.419,0.144,2.31734319191745e-51,"8","Epha2"
"Npm3",3.20240907545112e-55,0.396512662058272,0.714,0.346,6.00515749828594e-51,"8","Npm3"
"Sppl3",5.76539785610263e-55,0.355927702653632,0.454,0.167,1.08112740597636e-50,"8","Sppl3"
"Rangap1",1.1746620982256e-54,0.308496287209797,0.434,0.155,2.20272636659265e-50,"8","Rangap1"
"Ngf1",2.5382787197135e-54,0.254286374963518,0.323,0.099,4.75978025520675e-50,"8","Ngf"
"Cbr3",2.94768604290906e-54,0.282312779502112,0.339,0.107,5.52750086766307e-50,"8","Cbr3"
"Slc6a8",3.05807680521636e-54,0.346854142653001,0.474,0.178,5.73450562514171e-50,"8","Slc6a8"
"Rps23",3.12940335253276e-54,0.262957124829565,0.998,0.976,5.86825716666943e-50,"8","Rps23"
"Fau",5.08107650396477e-54,0.264639074225725,0.994,0.971,9.52803466023473e-50,"8","Fau"
"Ncl",5.37692322595922e-54,0.423440288776426,0.935,0.717,1.00828064333187e-49,"8","Ncl"
"Rpl31",1.04017871239227e-53,0.345691728651614,0.959,0.858,1.95054312147798e-49,"8","Rpl31"
"Atl2",1.22440098454815e-53,0.326558931828913,0.444,0.164,2.29599672622469e-49,"8","Atl2"
"Rab11a1",1.23372143242872e-53,0.349871631554477,0.873,0.534,2.31347443009033e-49,"8","Rab11a"
"Adrb22",1.26844697486697e-53,0.443840882413114,0.515,0.211,2.37859176727053e-49,"8","Adrb2"
"Pa2g4",1.49076989832511e-53,0.42394770272519,0.765,0.409,2.79549171333924e-49,"8","Pa2g4"
"Ola1",2.49238386426299e-53,0.361628356227664,0.515,0.207,4.67371822226595e-49,"8","Ola1"
"Ppl",9.01558401594367e-53,0.273311035334486,0.256,0.069,1.69060231466976e-48,"8","Ppl"
