"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Supt4a2",8.19430630749947e-16,0.37802471818007,0.654,0.311,1.5365963187823e-11,"35","Supt4a"
"Ciao2a2",9.13352109762419e-16,0.363368599941776,0.423,0.157,1.71271787622649e-11,"35","Ciao2a"
"Cdc423",1.30389247054263e-15,0.373229233435909,0.923,0.757,2.44505916076155e-11,"35","Cdc42"
"Arid4a",1.93704655256062e-15,0.34497920670831,0.346,0.116,3.63234969536167e-11,"35","Arid4a"
"Eef1b29",2.03513148521613e-15,0.402774507589799,0.977,0.811,3.8162785610773e-11,"35","Eef1b2"
"Ywhah7",2.79547072097215e-15,0.481011219256879,0.815,0.519,5.24206669596697e-11,"35","Ywhah"
"Abracl10",2.96061885790186e-15,0.441511901484225,0.731,0.404,5.55175248233756e-11,"35","Abracl"
"Pfdn52",3.24753546701575e-15,0.400267463706038,0.962,0.849,6.08977850774794e-11,"35","Pfdn5"
"Rtl8a3",3.46854915269158e-15,0.254995865571511,0.415,0.15,6.50422337112726e-11,"35","Rtl8a"
"Sod11",3.96124481041129e-15,0.46329940703721,0.577,0.262,7.42812626848324e-11,"35","Sod1"
"Ass17",5.93169709611572e-15,0.353676342737534,0.415,0.156,1.11231183946362e-10,"35","Ass1"
"Mrps231",6.06827387436052e-15,0.252564685979889,0.338,0.111,1.13792271692008e-10,"35","Mrps23"
"Eif3f8",7.37197241096354e-15,0.367348722746102,0.969,0.832,1.38239226650388e-10,"35","Eif3f"
"Rplp08",8.93178692637932e-15,0.258775229334494,1,0.985,1.67488868443465e-10,"35","Rplp0"
"Dpysl25",9.78766565312797e-15,0.28850955113755,0.446,0.166,1.83538306327456e-10,"35","Dpysl2"
"Prr134",1.25769254245589e-14,0.403226888239213,0.715,0.373,2.35842505561329e-10,"35","Prr13"
"Gng123",1.26793542132553e-14,0.475612507675369,0.654,0.333,2.37763250206963e-10,"35","Gng12"
"Gtf3c6",1.83307308521769e-14,0.277746179911972,0.369,0.13,3.43737864940022e-10,"35","Gtf3c6"
"Tgfb16",1.93378033968785e-14,0.294790942066209,0.746,0.365,3.62622489298266e-10,"35","Tgfb1"
"Rpl2810",2.29168355390532e-14,0.355622359221733,0.992,0.897,4.29736500028326e-10,"35","Rpl28"
"Rps169",2.33061797554164e-14,0.298270751932701,1,0.972,4.37037482773568e-10,"35","Rps16"
"Chp12",2.79124653098743e-14,0.34514274022227,0.562,0.252,5.23414549490763e-10,"35","Chp1"
"Rtcb",3.19049125488403e-14,0.421059809495193,0.546,0.261,5.98280920115853e-10,"35","Rtcb"
"Cbl",3.29497198137807e-14,0.303518220516536,0.262,0.079,6.17873145948016e-10,"35","Cbl"
"Nedd83",4.60973401892724e-14,0.406733135766648,0.862,0.628,8.64417323229236e-10,"35","Nedd8"
"Capzb7",4.67559692339898e-14,0.365076834190354,0.846,0.578,8.76767935075777e-10,"35","Capzb"
"Slc27a33",5.63760955319743e-14,0.283101992275536,0.285,0.09,1.05716454341558e-09,"35","Slc27a3"
"Rnh14",5.9696455777121e-14,0.500622605883075,0.838,0.583,1.11942793873257e-09,"35","Rnh1"
"Rps138",8.32937760877052e-14,0.320431061953405,0.992,0.949,1.56192488919665e-09,"35","Rps13"
"Ubl33",8.40305563159911e-14,0.397102264693168,0.5,0.223,1.57574099203746e-09,"35","Ubl3"
"Prkar2a",9.94604175091838e-14,0.367139585553403,0.338,0.121,1.86508174913221e-09,"35","Prkar2a"
"Clic15",1.13049619361112e-13,0.347655394237365,0.931,0.737,2.11990646225958e-09,"35","Clic1"
"Dazap24",1.24170881906933e-13,0.312526805519784,0.7,0.361,2.32845237751881e-09,"35","Dazap2"
"Flna5",1.29081912926933e-13,0.308098506493935,0.477,0.202,2.42054403120584e-09,"35","Flna"
"Rpl99",1.71410430622525e-13,0.271681443047155,1,0.967,3.2142883950336e-09,"35","Rpl9"
"Rps284",1.74762381544348e-13,0.422883365003166,0.969,0.828,3.27714417871961e-09,"35","Rps28"
"Ybx15",1.81241711553215e-13,0.370732963025376,0.931,0.849,3.39864457504589e-09,"35","Ybx1"
"Rps2410",2.02085849143204e-13,0.303813970666558,1,0.957,3.78951384313336e-09,"35","Rps24"
"Nubp11",3.0575880970806e-13,0.329535775705286,0.346,0.124,5.73358919964554e-09,"35","Nubp1"
"Sft2d21",5.40457700090898e-13,0.373389626175078,0.3,0.101,1.01346627921045e-08,"35","Sft2d2"
"Ap2s12",5.49321971911584e-13,0.342563134177283,0.685,0.373,1.0300885617286e-08,"35","Ap2s1"
"Lsm101",5.51797371367405e-13,0.296302698653983,0.269,0.087,1.03473043078816e-08,"35","Lsm10"
"Gtf2e2",5.90612100482656e-13,0.280254315904131,0.369,0.14,1.10751581082508e-08,"35","Gtf2e2"
"Sec61b5",6.66091859947866e-13,0.484561636022646,0.831,0.568,1.24905545577424e-08,"35","Sec61b"
"March22",1.00509211940027e-12,0.349072650580929,0.531,0.246,1.88474874229939e-08,"35","March2"
"Cox6b15",1.35648391390895e-12,0.341696120803846,0.908,0.653,2.54367863536207e-08,"35","Cox6b1"
"Rps1010",1.39865643702252e-12,0.345461336497818,0.992,0.911,2.62276055070463e-08,"35","Rps10"
"Rab8a",1.40443125967784e-12,0.278305295069208,0.369,0.142,2.63358949814789e-08,"35","Rab8a"
"Cap16",1.67865574564117e-12,0.399999901697522,0.692,0.388,3.14781525422632e-08,"35","Cap1"
"Nudt143",1.95045015881045e-12,0.310201960489836,0.315,0.114,3.65748413780136e-08,"35","Nudt14"
"Diaph11",2.60699409110569e-12,0.265738923092292,0.323,0.117,4.88863531964139e-08,"35","Diaph1"
"Idnk",2.63168962952994e-12,0.267266393311354,0.315,0.113,4.93494439329453e-08,"35","Idnk"
"Tln1",3.12533835791017e-12,0.313871834643795,0.4,0.163,5.86063448875315e-08,"35","Tln1"
"Mkrn14",4.58147216289961e-12,0.398448272526056,0.554,0.286,8.59117659986935e-08,"35","Mkrn1"
"Kdm7a2",4.76877160784483e-12,0.399161741441461,0.415,0.178,8.94240051903063e-08,"35","Kdm7a"
"Smdt13",7.09732869329272e-12,0.403952936571126,0.8,0.57,1.33089107656625e-07,"35","Smdt1"
"Mxi11",9.52127786444681e-12,0.3119484427126,0.362,0.142,1.78543002514107e-07,"35","Mxi1"
"Pgls5",9.78142595935224e-12,0.403574339924151,0.662,0.376,1.83421299589773e-07,"35","Pgls"
"Gpi11",1.02031155016924e-11,0.394075763832361,0.708,0.423,1.91328821887736e-07,"35","Gpi1"
"Rpl266",1.04376318229382e-11,0.356229163764217,0.962,0.867,1.95726471943738e-07,"35","Rpl26"
"Riok3",1.23234058033155e-11,0.317333904164084,0.585,0.307,2.31088505623772e-07,"35","Riok3"
"Marcksl16",1.41025377101468e-11,0.269342585663809,0.769,0.462,2.64450787140672e-07,"35","Marcksl1"
"Arih2",1.64079471701335e-11,0.254977793327837,0.354,0.139,3.07681825334343e-07,"35","Arih2"
"Rps2710",1.65841326363036e-11,0.369383951012773,0.992,0.936,3.10985655195965e-07,"35","Rps27"
"Ctdnep11",1.85503154717267e-11,0.250120507448994,0.415,0.172,3.4785551572582e-07,"35","Ctdnep1"
"N4bp12",2.13152468285423e-11,0.287584898263336,0.315,0.119,3.99703508528825e-07,"35","N4bp1"
"Actr35",2.17669753295608e-11,0.391599967453237,0.8,0.568,4.08174321379924e-07,"35","Actr3"
"Tmem2581",2.52509165213889e-11,0.277437888185864,0.531,0.251,4.73505186609084e-07,"35","Tmem258"
"Necap21",2.63211559023876e-11,0.284296434289638,0.462,0.207,4.93574315481572e-07,"35","Necap2"
"Rpl386",3.0086872855244e-11,0.445881436813886,0.938,0.773,5.64189039781536e-07,"35","Rpl38"
"Rtraf3",3.12411236454517e-11,0.358061598606578,0.854,0.588,5.85833550599511e-07,"35","Rtraf"
"Cnih45",3.19552879697394e-11,0.367184237110649,0.685,0.375,5.99225560008552e-07,"35","Cnih4"
"Rbm310",3.34316582268294e-11,0.414151142150835,0.923,0.851,6.26910455069505e-07,"35","Rbm3"
"Mrpl42",3.58073152215727e-11,0.387065606447968,0.585,0.317,6.7145877503493e-07,"35","Mrpl42"
"Sem13",4.40070887073821e-11,0.366770844002629,0.885,0.691,8.25220927440829e-07,"35","Sem1"
"Atp5e3",7.49084175876179e-11,0.305567501163964,0.792,0.515,1.40468264660301e-06,"35","Atp5e"
"Mrpl541",8.77323159486525e-11,0.253026639325411,0.631,0.336,1.64515638866913e-06,"35","Mrpl54"
"Tma76",1.05184795600636e-10,0.365093753189031,0.7,0.423,1.97242528710313e-06,"35","Tma7"
"Lrrfip16",1.06585976937571e-10,0.3770678315786,0.608,0.343,1.99870023953333e-06,"35","Lrrfip1"
"Lamtor21",1.08265969666872e-10,0.255869260386671,0.677,0.373,2.03020346319319e-06,"35","Lamtor2"
"Bax4",1.20377591899478e-10,0.330562065629928,0.669,0.373,2.25732060329902e-06,"35","Bax"
"Prelid13",1.26077072639847e-10,0.332595617921526,0.738,0.453,2.36419726614242e-06,"35","Prelid1"
"Rpl37a6",1.43633627444635e-10,0.421204888507137,0.992,0.933,2.69341778184179e-06,"35","Rpl37a"
"Rpl377",1.49433248150416e-10,0.353406500793847,0.977,0.876,2.8021722693166e-06,"35","Rpl37"
"Tnip21",1.57339029533039e-10,0.26198554582096,0.308,0.119,2.95042148180355e-06,"35","Tnip2"
"Cd478",1.66192118484351e-10,0.336008684825859,0.854,0.612,3.11643460581854e-06,"35","Cd47"
"Scamp2",1.67949210310491e-10,0.293782323093674,0.362,0.152,3.14938359174233e-06,"35","Scamp2"
"Gnb22",2.26652194479995e-10,0.33703515468315,0.885,0.747,4.25018195088887e-06,"35","Gnb2"
"Rpl399",2.89137447632639e-10,0.340982276032479,0.969,0.828,5.42190541800725e-06,"35","Rpl39"
"Calm36",3.65105070450637e-10,0.35596908101737,0.638,0.363,6.84645028109034e-06,"35","Calm3"
"Spag93",3.65475093367258e-10,0.280870405496541,0.608,0.317,6.85338895082282e-06,"35","Spag9"
"Sgf29",3.70989731622751e-10,0.254944987135084,0.3,0.116,6.95679944738983e-06,"35","Sgf29"
"Reep59",4.15575854331664e-10,0.287508944957823,0.969,0.79,7.79287842042736e-06,"35","Reep5"
"H2afj10",4.31506152678552e-10,0.318095752464489,0.769,0.467,8.09160337502822e-06,"35","H2afj"
"Rnf8",5.14926730752914e-10,0.254808517022883,0.277,0.103,9.65590605507865e-06,"35","Rnf8"
"Lsm43",5.2812678594806e-10,0.324829864436317,0.554,0.303,9.90343349009801e-06,"35","Lsm4"
"Tpm33",5.52824046802766e-10,0.294200509608936,0.562,0.296,1.03665565256455e-05,"35","Tpm3"
"Sri6",7.08685551175752e-10,0.295026290002925,0.738,0.455,1.32892714556477e-05,"35","Sri"
"Ccdc122",7.17051540274277e-10,0.280165383808291,0.592,0.321,1.34461504832232e-05,"35","Ccdc12"
"Lsm61",8.16689118653919e-10,0.325528573233542,0.446,0.216,1.53145543529983e-05,"35","Lsm6"
"Foxp17",1.11371556701207e-09,0.261202777317682,0.431,0.2,2.08843943126104e-05,"35","Foxp1"
"Pold41",1.23448325129274e-09,0.262856646165956,0.392,0.179,2.31490299282414e-05,"35","Pold4"
"Cript2",1.40617893167225e-09,0.252963485911384,0.485,0.237,2.6368667326718e-05,"35","Cript"
"Uqcrfs17",1.51718679748492e-09,0.260297308272828,0.754,0.467,2.84502868264371e-05,"35","Uqcrfs1"
"Dnajc81",1.60568971759904e-09,0.312662260583421,0.615,0.37,3.01098935844173e-05,"35","Dnajc8"
"Ubl52",1.89922899336606e-09,0.302964541591323,0.738,0.466,3.56143420836003e-05,"35","Ubl5"
"Rps1410",2.21606760513906e-09,0.257479371352731,1,0.967,4.15556997315676e-05,"35","Rps14"
"Rps1510",2.37290584665709e-09,0.298169251161786,0.985,0.927,4.44967304365138e-05,"35","Rps15"
